Year,Mfr Name,Comb FE (Guide) - Conventional Fuel
2011,Audi,20.878048780487806
2011,BMW,21.685714285714287
2011,Bentley,13.4
2011,Bugatti,10.0
2011,Chrysler Group LLC,19.972602739726028
2011,Ferrari,13.11111111111111
2011,Ford Motor Company,20.70689655172414
2011,GDX,29.0
2011,General Motors,18.48167539267016
2011,Honda,25.75
2011,Hyundai,24.393939393939394
2011,Jaguar Cars,17.8
2011,Kia,24.81578947368421
2011,Lamborghini,15.25
2011,Land Rover,14.666666666666666
2011,Lotus,21.666666666666668
2011,MAZDA,23.2
2011,Mahindra,20.0
2011,Maserati,14.8
2011,Mercedes-Benz,18.228070175438596
2011,Mitsubishi Motors Co,24.263157894736842
2011,Mitsubishi Motors NA,20.875
2011,Nissan,20.8
2011,Porsche,20.436363636363637
2011,Rolls-Royce,14.2
2011,Roush,16.0
2011,Saab Cars North America,22.23076923076923
2011,Spyker,17.0
2011,Subaru,21.473684210526315
2011,Suzuki,24.764705882352942
2011,Toyota,22.27777777777778
2011,VPG,14.0
2011,Volkswagen,26.48
2011,Volvo,21.0
2011,aston martin,14.444444444444445
