Year,Manufacturer,cmb
2004,ACURA,23.818181818181817
2004,ASTON MARTIN,15.0
2004,AUDI,21.55555555555556
2004,BENTLEY,12.333333333333334
2004,BMW,21.34426229508197
2004,BUICK,20.615384615384617
2004,CADILLAC,18.3
2004,CHEVROLET,18.24778761061947
2004,CHRYSLER,21.90322580645161
2004,DAEWOO,26.4
2004,DODGE,18.75
2004,FERRARI,12.4
2004,FORD,19.321428571428573
2004,GM,11.0
2004,GMC,16.68831168831169
2004,HONDA,32.5
2004,HYUNDAI,24.52173913043478
2004,INFINITI,19.307692307692307
2004,ISUZU,18.285714285714285
2004,JAGUAR,20.53846153846154
2004,JEEP,18.428571428571427
2004,KIA,23.38888888888889
2004,LAMBORGHINI,11.25
2004,LAND ROVER,15.0
2004,LEXUS,20.07692307692308
2004,LINCOLN,15.0
2004,LINCOLN-MERCURY,20.53333333333333
2004,LOTUS,18.0
2004,MASERATI,13.0
2004,MAZDA,22.933333333333334
2004,MERCEDES-BENZ,19.38095238095238
2004,MERCURY,16.0
2004,MINI,29.33333333333333
2004,MITSUBISHI,22.677419354838708
2004,NISSAN,20.30952380952381
2004,OLDSMOBILE,22.571428571428573
2004,PONTIAC,24.38095238095238
2004,PORSCHE,18.86111111111111
2004,QUANTUM,26.5
2004,ROLLS-ROYCE,15.0
2004,ROUSH PERFORMANCE,20.0
2004,SAAB,23.38888888888889
2004,SATURN,25.15384615384616
2004,SUBARU,22.52
2004,SUZUKI,23.0
2004,TOYOTA,24.566666666666663
2004,VOLKSWAGEN,25.732142857142858
2004,VOLVO,22.580645161290324
