Year,Mfr Name,COMB MPG,COMB CO2
2022,BMW,23.83962264150944,386.4150943396226
2022,FCA US LLC,20.615384615384617,451.61538461538464
2022,FERRARI,16.166666666666668,558.8333333333334
2022,FORD,22.385964912280706,412.64912280701753
2022,GENERAL MOTORS,20.71686746987952,455.82530120481925
2022,HONDA,29.2,321.6222222222222
2022,HYUNDAI,28.94736842105263,337.10526315789474
2022,JAGUAR,20.05263157894737,451.05263157894734
2022,KIA,29.02857142857143,325.22857142857146
2022,MASERATI,18.0,494.61538461538464
2022,MCLAREN AUTOMOTIVE,18.0,505.0
2022,MERCEDES-BENZ,23.711111111111112,376.77777777777777
2022,MITSUBISHI,29.5,307.25
2022,NISSAN,23.783783783783782,395.9189189189189
2022,PORSCHE,19.4375,460.328125
2022,ROLLS-ROYCE,14.0,619.7142857142857
2022,SUBARU,27.0,331.9047619047619
2022,TOYOTA,28.307692307692307,343.85714285714283
2022,VOLKSWAGEN,22.141176470588235,432.77647058823527
2022,VOLVO,25.307692307692307,352.7692307692308
2022,ASTON MARTIN,20.0,431.0
2021,BMW,23.75454545454545,386.8454545454546
2021,FCA US LLC,20.58695652173913,449.0543478260869
2021,FERRARI,16.285714285714285,549.5714285714286
2021,FORD,21.37254901960784,430.3333333333333
2021,GENERAL MOTORS,20.30434782608696,461.1739130434783
2021,HONDA,29.175,322.825
2021,HYUNDAI,29.0,335.1454545454545
2021,JAGUAR,21.404761904761905,427.57142857142856
2021,KIA,28.916666666666668,326.47222222222223
2021,LOTUS,20.0,439.5
2021,MAZDA,27.89655172413793,320.48275862068965
2021,MASERATI,17.90909090909091,503.45454545454544
2021,MCLAREN AUTOMOTIVE,17.666666666666668,514.1666666666666
2021,MERCEDES-BENZ,21.804597701149422,420.1149425287357
2021,MITSUBISHI,31.25,292.375
2021,NISSAN,24.791666666666668,384.4166666666667
2021,PORSCHE,19.73015873015873,452.1746031746032
2021,ROLLS-ROYCE,14.0,622.4
2021,ROUSH,14.5,612.0
2021,SUBARU,26.6,340.1
2021,TOYOTA,28.23958333333333,347.21875
2021,VOLKSWAGEN,20.98809523809524,458.0
2021,VOLVO,24.88235294117647,357.2352941176471
2021,ASTON MARTIN,17.833333333333332,499.6666666666667
2020,BMW,23.024590163934427,398.0409836065574
2020,FCA US LLC,21.13043478260869,434.2065217391304
2020,FERRARI,15.857142857142858,561.0
2020,FORD,22.516129032258064,415.3440860215054
2020,GENERAL MOTORS,20.823529411764707,445.32941176470587
2020,HONDA,28.580645161290324,324.258064516129
2020,HYUNDAI,27.82692307692308,348.40384615384613
2020,JAGUAR,21.64814814814815,421.7592592592592
2020,KIA,28.17142857142857,338.65714285714284
2020,KOENIGSEGG,11.0,610.0
2020,LOTUS,19.75,449.5
2020,MAZDA,28.30434782608696,315.4347826086956
2020,MASERATI,17.5,505.7
2020,MCLAREN AUTOMOTIVE,18.0,496.0
2020,MCLAREN AUTOMOTIVE,17.625,517.375
2020,MERCEDES-BENZ,21.719101123595507,419.07865168539325
2020,MITSUBISHI,28.6,317.2
2020,NISSAN,23.73913043478261,393.1304347826087
2020,PAGANI AUTOMOBILI S,12.0,707.0
2020,PORSCHE,20.5625,433.8125
2020,RUF,18.0,497.0
2020,ROLLS-ROYCE,14.0,627.3636363636364
2020,ROUSH,13.75,643.25
2020,SUBARU,26.217391304347824,343.7391304347826
2020,TOYOTA,27.693877551020407,353.2142857142857
2020,VOLKSWAGEN,21.14102564102564,458.2051282051282
2020,VOLVO,24.6875,360.6875
2020,ASTON MARTIN,18.4,485.2
2019,BMW,23.950819672131143,379.1065573770492
2019,FCA US LLC,21.70652173913044,422.9891304347826
2019,FERRARI,16.7,537.8
2019,FORD,21.368852459016395,432.28688524590166
2019,GENERAL MOTORS,21.37368421052632,440.0473684210526
2019,HONDA,28.375,325.921875
2019,HYUNDAI,26.654545454545456,358.2
2019,JAGUAR,22.21875,422.03125
2019,KIA,28.0,340.4117647058824
2019,KOENIGSEGG,11.0,610.0
2019,MAZDA,28.30434782608696,320.1304347826087
2019,MASERATI,17.272727272727273,515.7272727272727
2019,MCLAREN AUTOMOTIVE,17.714285714285715,513.0
2019,MERCEDES-BENZ,21.12087912087912,434.043956043956
2019,MITSUBISHI,28.375,319.75
2019,NISSAN,23.544117647058822,396.5
2019,PORSCHE,21.51388888888889,416.7083333333333
2019,ROLLS-ROYCE,14.0,625.7142857142857
2019,ROUSH,13.5,658.5
2019,SUBARU,17.0,518.0
2019,SUBARU,25.954545454545453,347.40909090909093
2019,TOYOTA,26.663366336633665,367.66336633663366
2019,VOLKSWAGEN,23.666666666666668,401.0144927536232
2019,VOLVO,25.05,355.7
2019,ASTON MARTIN,18.166666666666668,495.5
2018,BMW,24.19083969465649,378.7862595419848
2018,FCA US LLC,21.557894736842105,426.46315789473687
2018,FERRARI,16.88888888888889,533.6666666666666
2018,FORD,21.48507462686567,430.5746268656716
2018,GENERAL MOTORS,22.625730994152047,417.2865497076023
2018,HONDA,28.155172413793103,326.4310344827586
2018,HYUNDAI,26.68,358.4
2018,JAGUAR,22.857142857142858,410.0
2018,KIA,26.477272727272727,357.8636363636364
2018,KOENIGSEGG,13.0,654.0
2018,LOTUS,19.5,459.5
2018,MAZDA,29.08695652173913,311.4782608695652
2018,MASERATI,17.3,514.4
2018,MCLAREN AUTOMOTIVE,18.8,487.4
2018,MERCEDES-BENZ,20.426966292134832,449.3258426966292
2018,MITSUBISHI,28.375,318.4375
2018,NISSAN,23.61971830985916,394.4929577464789
2018,PAGANI AUTOMOBILI S,13.0,671.0
