Year,Mfr Name,Comb FE (Guide) - Conventional Fuel,Comb CO2 Rounded Adjusted (as shown on FE Label)
2019,BMW,23.950819672131146,379.10655737704917
2019,FCA US LLC,21.706521739130434,422.9891304347826
2019,Ferrari,16.7,537.8
2019,Ford Motor Company,21.368852459016395,432.28688524590166
2019,General Motors,21.373684210526317,440.0473684210526
2019,Honda,28.375,325.921875
2019,Hyundai,26.654545454545456,358.2
2019,Jaguar Land Rover L,22.21875,422.03125
2019,Kia,28.0,340.4117647058824
2019,Koenigsegg,11.0,610.0
2019,MAZDA,28.304347826086957,320.1304347826087
2019,Maserati,17.272727272727273,515.7272727272727
2019,McLaren Automotive,17.714285714285715,513.0
2019,Mercedes-Benz,21.12087912087912,434.04395604395603
2019,Mitsubishi Motors Co,28.375,319.75
2019,Nissan,23.544117647058822,396.5
2019,Porsche,21.51388888888889,416.7083333333333
2019,Rolls-Royce,14.0,625.7142857142857
2019,Roush,13.5,658.5
2019,SUBARU TECNICA INTE,17.0,518.0
2019,Subaru,25.954545454545453,347.40909090909093
2019,Toyota,26.663366336633665,367.66336633663366
2019,Volkswagen Group of,23.666666666666668,401.0144927536232
2019,Volvo,25.05,355.7
2019,aston martin,18.166666666666668,495.5
