Year,Manufacturer,cmb
2005,ACURA,23.545454545454547
2005,ASTON MARTIN,13.666666666666666
2005,AUDI,21.454545454545453
2005,BENTLEY,12.333333333333334
2005,BMW,21.0
2005,BUICK,20.4375
2005,CADILLAC,17.954545454545453
2005,CHEVROLET,18.98275862068965
2005,CHRYSLER,21.846153846153847
2005,DODGE,19.6
2005,FERRARI,12.333333333333334
2005,FORD,19.67567567567568
2005,GMC,16.756756756756758
2005,HONDA,33.64
2005,HYUNDAI,24.14814814814815
2005,INFINITI,18.8
2005,ISUZU,16.833333333333332
2005,JAGUAR,20.80952380952381
2005,JEEP,18.692307692307693
2005,KIA,22.428571428571427
2005,LAMBORGHINI,11.5
2005,LAND ROVER,16.0
2005,LEXUS,20.33333333333333
2005,LINCOLN,15.0
2005,LINCOLN-MERCURY,21.11764705882353
2005,LOTUS,25.0
2005,MASERATI,13.6
2005,MAZDA,23.0
2005,MERCEDES-BENZ,19.05172413793104
2005,MERCURY,17.571428571428573
2005,MINI,28.83333333333333
2005,MITSUBISHI,23.1
2005,NISSAN,22.115384615384617
2005,PONTIAC,25.08
2005,PORSCHE,18.980392156862745
2005,ROLLS-ROYCE,15.0
2005,SAAB,23.357142857142858
2005,SATURN,23.615384615384617
2005,SUBARU,22.83870967741936
2005,SUZUKI,24.2
2005,TOYOTA,25.553571428571427
2005,VOLKSWAGEN,26.66
2005,VOLVO,22.571428571428573
