resultId,raceId,constructorId,position
6026,290,3,2
6055,291,3,1
6056,291,3,2
6085,292,3,1
6086,292,22,2
6117,293,3,1
6118,293,3,2
6149,294,1,1
6150,294,3,2
6181,295,1,1
6182,295,22,2
6212,296,3,1
6213,296,3,2
6242,297,3,1
6243,297,3,2
6274,298,3,1
6275,298,1,2
6306,299,1,1
6307,299,3,2
6337,300,22,1
6338,300,3,2
6367,301,1,1
6368,301,22,2
6395,302,3,1
6396,302,1,2
6421,303,3,1
6422,303,1,2
6447,304,1,1
6448,304,22,2
6473,305,1,1
6474,305,6,2
6507,306,1,1
6508,306,3,2
6541,307,1,1
6542,307,1,2
6575,308,1,1
6576,308,3,2
6609,309,22,1
6610,309,25,2
6643,310,3,1
6644,310,3,2
6677,311,3,1
6678,311,6,2
6711,312,3,1
6712,312,1,2
6745,313,3,1
6746,313,3,2
6779,314,1,1
6780,314,3,2
6813,315,1,1
6814,315,1,2
6847,316,3,1
6848,316,1,2
6881,317,3,1
6882,317,1,2
6915,318,3,1
6916,318,6,2
6948,319,1,1
6949,319,1,2
6980,320,1,1
6981,320,3,2
7012,321,1,1
7013,321,25,2
7047,322,6,1
7048,322,1,2
7082,323,3,1
7083,323,1,2
7117,324,1,1
7118,324,25,2
7152,325,1,1
7153,325,22,2
7187,326,6,1
7188,326,6,2
7222,327,6,1
7223,327,41,2
7257,328,6,1
7258,328,3,2
7292,329,1,1
7293,329,22,2
7327,330,3,1
7328,330,1,2
7362,331,1,1
7363,331,6,2
7395,332,1,1
7396,332,6,2
7428,333,6,1
7429,333,1,2
7461,334,6,1
7462,334,6,2
7494,335,22,1
7495,335,22,2
7524,336,22,1
7525,336,6,2
7554,1,23,1
7555,1,23,2
7574,2,23,1
7575,2,2,2
7594,3,9,1
7595,3,9,2
7614,4,23,1
7615,4,9,2
7634,5,23,1
7635,5,23,2
7654,6,23,1
7655,6,23,2
7674,7,23,1
7675,7,9,2
7694,8,9,1
7695,8,9,2
7714,9,9,1
7715,9,9,2
7734,10,1,1
7735,10,6,2
7754,11,23,1
7755,11,1,2
7774,12,6,1
7775,12,10,2
7794,13,23,1
7795,13,23,2
7814,14,1,1
7815,14,7,2
7834,15,9,1
7835,15,7,2
7854,16,9,1
7855,16,2,2
7874,356,6,1
7875,356,1,2
7912,357,1,1
7913,357,1,2
7951,358,1,1
7952,358,1,2
7989,359,1,1
7990,359,3,2
8028,360,1,1
8029,360,3,2
8067,361,3,1
8068,361,3,2
8106,362,1,1
8107,362,6,2
8145,363,1,1
8146,363,6,2
8184,364,1,1
8185,364,1,2
8222,365,6,1
8223,365,1,2
8261,366,1,1
8262,366,1,2
8300,367,1,1
8301,367,6,2
8339,368,6,1
8340,368,1,2
8378,369,1,1
8379,369,6,2
8416,370,22,1
8417,370,3,2
8455,371,3,1
8456,371,22,2
8494,372,1,1
8495,372,6,2
8525,373,1,1
8526,373,1,2
8555,374,1,1
8556,374,6,2
8586,375,1,1
8587,375,1,2
8617,376,1,1
8618,376,1,2
8648,377,1,1
8649,377,1,2
8679,378,1,1
8680,378,1,2
8710,379,1,1
8711,379,3,2
8741,380,1,1
8742,380,1,2
8772,381,1,1
8773,381,1,2
8803,382,1,1
8804,382,1,2
8834,383,6,1
8835,383,6,2
8865,384,1,1
8866,384,37,2
8896,385,1,1
8897,385,3,2
8927,386,1,1
8928,386,1,2
8958,387,1,1
8959,387,1,2
8989,388,1,1
8990,388,3,2
9012,389,3,1
9013,389,32,2
9039,390,1,1
9040,390,1,2
9065,391,32,1
9066,391,3,2
9091,392,32,1
9092,392,3,2
9117,393,3,1
9118,393,3,2
9143,394,3,1
9144,394,3,2
9169,395,3,1
9170,395,1,2
9195,396,3,1
9196,396,32,2
9221,397,3,1
9222,397,3,2
9247,398,3,1
9248,398,32,2
9275,399,1,1
9276,399,6,2
9301,400,3,1
9302,400,1,2
9328,401,3,1
9329,401,3,2
9354,402,6,1
9355,402,32,2
9381,403,6,1
9382,403,6,2
9408,404,3,1
9409,404,32,2
9433,405,32,1
9434,405,3,2
9458,406,1,1
9459,406,3,2
9484,407,1,1
9485,407,1,2
9509,408,3,1
9510,408,32,2
9534,409,3,1
9535,409,1,2
9559,410,32,1
9560,410,27,2
9585,411,3,1
9586,411,1,2
9611,412,3,1
9612,412,3,2
9637,413,3,1
9638,413,32,2
9663,414,3,1
9664,414,32,2
9689,415,1,1
9690,415,6,2
9715,416,3,1
9716,416,3,2
9742,417,3,1
9743,417,1,2
9769,418,22,1
9770,418,1,2
9794,419,1,1
9795,419,3,2
9820,420,1,1
9821,420,6,2
9845,421,32,1
9846,421,6,2
9871,422,32,1
9872,422,21,2
9897,423,1,1
9898,423,6,2
9922,424,6,1
9923,424,6,2
9947,425,3,1
9948,425,6,2
9972,426,34,1
9973,426,3,2
9998,427,1,1
9999,427,6,2
10024,428,6,1
10025,428,1,2
10051,429,1,1
10052,429,32,2
10078,430,1,1
10079,430,1,2
10104,431,1,1
10105,431,34,2
10130,432,32,1
10131,432,3,2
10154,433,3,1
10155,433,32,2
10180,434,3,1
10181,434,3,2
10201,435,3,1
10202,435,27,2
10226,436,1,1
10227,436,3,2
10253,437,1,1
10254,437,1,2
10280,438,6,1
10281,438,4,2
10307,439,1,1
10308,439,6,2
10335,440,1,1
10336,440,4,2
10361,441,1,1
10362,441,53,2
10388,442,34,1
10389,442,1,2
10414,443,34,1
10415,443,32,2
10441,444,3,1
10442,444,6,2
10467,445,1,1
10468,445,4,2
10495,446,1,1
10496,446,1,2
10522,447,1,1
10523,447,34,2
10549,448,1,1
10550,448,1,2
10576,449,1,1
10577,449,6,2
10603,450,1,1
10604,450,6,2
10629,451,1,1
10630,451,1,2
10656,452,34,1
10684,453,1,1
10685,453,1,2
10712,454,4,1
10713,454,34,2
10741,455,6,1
10742,455,4,2
10769,456,3,1
10770,456,34,2
10797,457,4,1
10798,457,6,2
10825,458,25,1
10826,458,3,2
10852,459,6,1
10853,459,4,2
10880,460,4,1
10881,460,34,2
10909,461,6,1
10910,461,51,2
10938,462,4,1
10939,462,6,2
10967,463,6,1
10968,463,6,2
10996,464,34,1
10997,464,6,2
11025,465,34,1
11026,465,4,2
11054,466,34,1
11055,466,51,2
11080,467,4,1
11081,467,3,2
11111,468,4,1
11112,468,1,2
11142,469,1,1
11143,469,3,2
11173,470,6,1
11174,470,6,2
11187,471,1,1
11188,471,3,2
11219,472,34,1
11220,472,6,2
11250,473,1,1
11251,473,27,2
11279,474,34,1
11280,474,34,2
11308,475,6,1
11309,475,34,2
11339,476,1,1
11340,476,6,2
11369,477,4,1
11370,477,4,2
11398,478,6,1
11399,478,4,2
11427,479,32,1
11428,479,3,2
11456,480,3,1
11457,480,4,2
11485,481,4,1
11486,481,6,2
11515,482,25,1
11516,482,1,2
11545,483,3,1
11546,483,3,2
11574,484,3,1
11575,484,3,2
11604,485,34,1
11605,485,3,2
11633,486,34,1
11634,486,21,2
11665,487,3,1
11666,487,27,2
11696,488,6,1
11697,488,3,2
11727,489,6,1
11728,489,27,2
11757,490,4,1
11758,490,1,2
11786,491,1,1
11787,491,3,2
11816,492,34,1
11817,492,4,2
11846,493,27,1
11847,493,4,2
11874,494,4,1
11875,494,34,2
11904,495,4,1
11905,495,3,2
11934,496,27,1
11935,496,1,2
11964,497,3,1
11965,497,4,2
11994,498,3,1
11995,498,34,2
12022,499,4,1
12023,499,32,2
12050,500,4,1
12051,500,27,2
12078,501,34,1
12079,501,21,2
12105,502,27,1
12106,502,3,2
12132,503,3,1
12133,503,27,2
12159,504,3,1
12160,504,27,2
12186,505,3,1
12187,505,34,2
12213,506,27,1
12214,506,3,2
12239,507,4,1
12240,507,3,2
12265,508,34,1
12266,508,4,2
12294,509,34,1
12295,509,3,2
12322,510,3,1
12323,510,3,2
12350,511,3,1
12351,511,3,2
12377,512,27,1
12378,512,32,2
12403,513,27,1
12404,513,27,2
12429,514,6,1
12430,514,6,2
12455,515,6,1
12456,515,6,2
12481,516,27,1
12482,516,32,2
12508,517,6,1
12509,517,27,2
12536,518,6,1
12537,518,3,2
12561,519,4,1
12562,519,6,2
12588,520,3,1
12589,520,4,2
12614,521,3,1
12615,521,3,2
12640,522,3,1
12641,522,6,2
12666,523,3,1
12667,523,6,2
12692,524,6,1
12693,524,6,2
12720,525,3,1
12721,525,6,2
12750,526,6,1
12751,526,4,2
12780,527,32,1
12781,527,34,2
12807,528,6,1
12808,528,56,2
12835,529,32,1
12836,529,25,2
12865,530,6,1
12866,530,32,2
12895,531,25,1
12896,531,34,2
12925,532,32,1
12926,532,32,2
12955,533,32,1
12956,533,32,2
12984,534,34,1
12985,534,21,2
13011,535,32,1
13012,535,32,2
13040,536,6,1
13041,536,34,2
13070,537,32,1
13071,537,59,2
13100,538,32,1
13101,538,25,2
13131,539,32,1
13132,539,32,2
13164,540,34,1
13165,540,34,2
13196,541,6,1
13197,541,3,2
13223,542,6,1
13224,542,59,2
13251,543,59,1
13252,543,34,2
13272,544,6,1
13273,544,1,2
13294,545,6,1
13295,545,59,2
13317,546,32,1
13318,546,6,2
13339,547,32,1
13340,547,6,2
13370,548,59,1
13371,548,6,2
13396,549,32,1
13397,549,6,2
13427,550,27,1
13428,550,1,2
13458,551,32,1
13459,551,34,2
13488,552,1,1
13489,552,6,2
13524,553,6,1
13525,553,59,2
13553,554,58,1
13554,554,6,2
13583,555,6,1
13584,555,27,2
13617,556,32,1
13618,556,6,2
13651,557,1,1
13652,557,32,2
13678,558,59,1
13679,558,25,2
13705,559,1,1
13706,559,6,2
13728,560,6,1
13729,560,25,2
13750,561,6,1
13751,561,1,2
13775,562,6,1
13776,562,6,2
13802,563,1,1
13803,563,6,2
13832,564,6,1
13833,564,6,2
13861,565,6,1
13862,565,25,2
13886,566,25,1
13887,566,25,2
13913,567,1,1
13914,567,25,2
13943,568,6,1
13944,568,25,2
13973,569,1,1
13974,569,25,2
14001,570,67,1
14002,570,27,2
14026,571,1,1
14027,571,6,2
14053,572,37,1
14054,572,6,2
14082,573,1,1
14083,573,25,2
14109,574,1,1
14110,574,25,2
14136,575,32,1
14137,575,25,2
14162,576,1,1
14163,576,64,2
14185,577,34,1
14186,577,1,2
14208,578,25,1
14209,578,34,2
14236,579,1,1
14237,579,32,2
14262,580,6,1
14263,580,1,2
14288,581,6,1
14289,581,25,2
14312,582,6,1
14313,582,34,2
14338,583,64,1
14339,583,6,2
14363,584,6,1
14364,584,64,2
14389,585,1,1
14390,585,34,2
14417,586,34,1
14418,586,3,2
14443,587,37,1
14444,587,64,2
14473,588,6,1
14474,588,1,2
14501,589,6,1
14502,589,1,2
14525,590,1,1
14526,590,6,2
14550,591,1,1
14551,591,6,2
14575,592,34,1
14576,592,66,2
14602,593,6,1
14603,593,6,2
14629,594,1,1
14630,594,6,2
14661,595,32,1
14662,595,25,2
14689,596,25,1
14690,596,25,2
14716,597,6,1
14717,597,6,2
14743,598,32,1
14744,598,6,2
14773,599,25,1
14774,599,1,2
14807,600,6,1
14808,600,25,2
14839,601,34,1
14840,601,1,2
14870,602,32,1
14871,602,1,2
14901,603,1,1
14902,603,6,2
14931,604,34,1
14932,604,34,2
14961,605,32,1
14962,605,25,2
14980,606,32,1
14981,606,25,2
15000,607,25,1
15001,607,1,2
15025,608,32,1
15026,608,25,2
15047,609,25,1
15048,609,25,2
15070,610,25,1
15071,610,32,2
15095,611,1,1
15096,611,32,2
15116,612,32,1
15117,612,25,2
15141,613,1,1
15142,613,32,2
15170,614,25,1
15171,614,25,2
15194,615,25,1
15195,615,25,2
15216,616,32,1
15217,616,25,2
15239,617,32,1
15240,617,32,2
15264,618,1,1
15265,618,32,2
15290,619,32,1
15291,619,37,2
15318,620,25,1
15319,620,1,2
15340,621,1,1
15341,621,32,2
15366,622,32,1
15367,622,6,2
15392,623,66,1
15393,623,6,2
15417,624,32,1
15418,624,25,2
15442,625,25,1
15443,625,32,2
15467,626,32,1
15468,626,25,2
15493,627,6,1
15494,627,6,2
15520,628,32,1
15521,628,1,2
15545,629,32,1
15546,629,63,2
15572,630,25,1
15573,630,1,2
15596,631,25,1
15597,631,25,2
15627,632,6,1
15628,632,25,2
15652,633,25,1
15653,633,6,2
15673,634,25,1
15674,634,200,2
15695,635,6,1
15696,635,66,2
15718,636,25,1
15719,636,25,2
15741,637,25,1
15742,637,200,2
15765,638,25,1
15766,638,25,2
15788,639,66,1
15789,639,180,2
15810,640,66,1
15811,640,200,2
15834,641,25,1
15835,641,200,2
15860,642,25,1
15861,642,66,2
15889,643,34,1
15890,643,187,2
15912,644,37,1
15913,644,187,2
15934,645,32,1
15935,645,34,2
15955,646,66,1
15956,646,37,2
15972,647,32,1
15973,647,37,2
15996,648,32,1
15997,648,37,2
16019,649,32,1
16020,649,34,2
16042,650,32,1
16043,650,6,2
16067,17,9,1
16068,17,9,2
16087,651,6,1
16088,651,6,2
16111,652,6,1
16112,652,37,2
16138,653,6,1
16139,653,6,2
16158,654,32,1
16159,654,66,2
16185,655,6,1
16186,655,6,2
16203,656,196,1
16204,656,180,2
16221,657,196,1
16222,657,187,2
16235,658,180,1
16236,658,182,2
16251,659,196,1
16252,659,180,2
16266,660,196,1
16267,660,196,2
16279,661,196,1
16280,661,182,2
16296,662,182,1
16297,662,196,2
16310,663,196,1
16311,663,180,2
16325,664,182,1
16326,664,182,2
16345,665,180,1
16346,665,182,2
16363,666,187,1
16364,666,182,2
16380,667,180,1
16381,667,180,2
16403,668,180,1
16404,668,187,2
16417,669,180,1
16418,669,66,2
16435,670,187,1
16436,670,66,2
16453,671,196,1
16454,671,82,2
16472,672,6,1
16473,672,11,2
16489,673,180,1
16490,673,6,2
16509,674,196,1
16510,674,180,2
16529,675,187,1
16530,675,196,2
16551,676,187,1
16552,676,187,2
16572,677,196,1
16573,677,180,2
16592,678,180,1
16593,678,187,2
16613,679,167,1
16614,679,170,2
16631,680,191,1
16632,680,176,2
16650,681,180,1
16651,681,191,2
16667,682,190,1
16668,682,66,2
16685,683,191,1
16686,683,191,2
16700,684,180,1
16701,684,191,2
16721,685,191,1
16722,685,191,2
16745,686,191,1
16746,686,191,2
16763,687,11,1
16764,687,191,2
16781,688,180,1
16782,688,180,2
16799,689,180,1
16800,689,191,2
16818,690,66,1
16819,690,6,2
16834,691,6,1
16835,691,167,2
16852,692,191,1
16853,692,6,2
16869,693,191,1
16870,693,191,2
16889,694,191,1
16890,694,66,2
16906,695,191,1
16907,695,167,2
16925,696,6,1
16926,696,6,2
16947,697,176,1
16948,697,167,2
16966,698,167,1
16967,698,191,2
16984,699,172,1
16985,699,6,2
17015,700,66,1
17016,700,6,2
17032,701,172,1
17033,701,66,2
17051,702,172,1
17052,702,66,2
17068,703,172,1
17069,703,66,2
17091,704,172,1
17092,704,66,2
17108,705,172,1
17109,705,66,2
17129,706,66,1
17130,706,66,2
17152,707,66,1
17153,707,183,2
17170,708,11,1
17171,708,183,2
17189,709,66,1
17190,709,66,2
17212,710,172,1
17213,710,6,2
17230,711,172,1
17231,711,170,2
17248,712,183,1
17249,712,66,2
17265,713,172,1
17266,713,66,2
17290,714,6,1
17291,714,66,2
17313,715,6,1
17314,715,66,2
17333,716,6,1
17334,716,170,2
17357,717,66,1
17358,717,6,2
17376,718,183,1
17377,718,6,2
17395,719,66,1
17396,719,66,2
17420,720,172,1
17421,720,170,2
17444,721,172,1
17445,721,34,2
17465,722,172,1
17466,722,170,2
17489,723,172,1
17490,723,6,2
17515,724,6,1
17516,724,172,2
17544,725,172,1
17545,725,66,2
17577,726,66,1
17578,726,66,2
17601,727,172,1
17602,727,34,2
17626,729,66,1
17627,729,172,2
17648,730,170,1
17649,730,6,2
17672,731,172,1
17673,731,66,2
17698,732,95,1
17699,732,170,2
17720,733,172,1
17721,733,26,2
17746,734,66,1
17747,734,26,2
17777,735,66,1
17778,735,66,2
17808,736,172,1
17809,736,66,2
17828,737,66,1
17829,737,170,2
17849,738,172,1
17850,738,6,2
17870,739,6,1
17871,739,6,2
17887,740,6,1
17888,740,6,2
17913,741,6,1
17914,741,95,2
17944,742,6,1
17945,742,6,2
17975,743,172,1
17976,743,6,2
18008,744,6,1
18009,744,95,2
18047,745,172,1
18048,745,95,2
18067,746,170,1
18068,746,6,2
18089,747,32,1
18090,747,170,2
18113,748,107,1
18114,748,107,2
18146,749,170,1
18147,749,32,2
18167,750,170,1
18168,750,170,2
18186,751,170,1
18187,751,170,2
18209,752,170,1
18210,752,32,2
18234,753,170,1
18235,753,170,2
18249,754,6,1
18250,754,6,2
18266,755,32,1
18267,755,32,2
18289,756,170,1
18290,756,6,2
18313,757,107,1
18314,757,107,2
18346,758,66,1
18347,758,170,2
18361,759,6,1
18362,759,6,2
18383,760,170,1
18384,760,66,2
18413,761,6,1
18414,761,6,2
18428,762,170,1
18429,762,170,2
18444,763,170,1
18445,763,6,2
18465,764,170,1
18466,764,170,2
18484,765,87,1
18485,765,6,2
18494,766,87,1
18495,766,6,2
18525,767,118,1
18526,767,66,2
18543,768,108,1
18544,768,108,2
18576,769,118,1
18577,769,6,2
18595,770,6,1
18596,770,118,2
18616,771,6,1
18617,771,6,2
18636,772,118,1
18637,772,87,2
18662,773,118,1
18663,773,6,2
18677,774,118,1
18678,774,6,2
18698,775,118,1
18699,775,6,2
18723,776,105,1
18724,776,105,2
18737,777,105,1
18738,777,118,2
18758,778,108,1
18759,778,108,2
18791,779,105,1
18792,779,6,2
18806,780,118,1
18807,780,6,2
18825,781,105,1
18826,781,6,2
18849,782,118,1
18850,782,105,2
18865,783,118,1
18866,783,105,2
18883,784,6,1
18884,784,105,2
18896,785,105,1
18897,785,6,2
18914,786,107,1
18915,786,113,2
18947,787,6,1
18948,787,6,2
18962,788,6,1
18963,788,6,2
18982,789,6,1
18983,789,6,2
19010,790,6,1
19011,790,105,2
19032,791,105,1
19033,791,6,2
19057,792,131,1
19058,792,6,2
19078,793,6,1
19079,793,132,2
19101,794,113,1
19102,794,113,2
19134,795,131,1
19135,795,131,2
19150,796,131,1
19151,796,131,2
19166,797,131,1
19167,797,131,2
19191,798,131,1
19192,798,131,2
19214,799,105,1
19215,799,6,2
19232,800,113,1
19233,800,114,2
