Year,MFR,COMB MPG (GUIDE)
2007,ACURA,22.625
2007,ALPINA,18.0
2007,ASTON MARTIN,14.833333333333334
2007,AUDI,21.428571428571427
2007,BENTLEY,13.0
2007,BMW,21.092307692307692
2007,BUICK,19.692307692307693
2007,CADILLAC,18.545454545454547
2007,CHEVROLET,19.068702290076335
2007,CHRYSLER,20.454545454545453
2007,DODGE,18.96153846153846
2007,FERRARI,13.166666666666666
2007,FORD,20.235294117647058
2007,GMC,16.50602409638554
2007,HONDA,26.88
2007,HUMMER,17.0
2007,HYUNDAI,24.153846153846153
2007,INFINITI,19.46153846153846
2007,ISUZU,19.125
2007,JAGUAR,20.357142857142858
2007,JEEP,19.055555555555557
2007,KIA,24.047619047619047
2007,LAMBORGHINI,13.25
2007,LAND ROVER,15.666666666666666
2007,LEXUS,22.85
2007,LINCOLN,17.2
2007,LINCOLN-MERCURY,20.857142857142858
2007,LOTUS,25.5
2007,MASERATI,14.5
2007,MAZDA,22.866666666666667
2007,MERCEDES-BENZ,18.125
2007,MERCURY,20.6
2007,MINI,29.75
2007,MITSUBISHI,21.333333333333332
2007,NISSAN,21.15909090909091
2007,PONTIAC,24.59090909090909
2007,PORSCHE,21.42105263157895
2007,ROLLS-ROYCE,15.0
2007,ROUSH PERFORMANCE,14.25
2007,SAAB,22.11111111111111
2007,SATURN,24.09090909090909
2007,SPYKR,16.0
2007,SUBARU,23.566666666666666
2007,SUZUKI,24.105263157894736
2007,TOYOTA,24.115384615384617
2007,VOLKSWAGEN,24.307692307692307
2007,VOLVO,22.35
