Year,Mfr Name,COMB MPG
2006,ACURA,24.285714285714285
2006,ASTON MARTIN,13.8
2006,AUDI,21.774193548387096
2006,BENTLEY,13.0
2006,BMW,21.09375
2006,BUICK,20.5
2006,CADILLAC,18.45
2006,CHEVROLET,19.11458333333333
2006,CHRYSLER,21.485714285714284
2006,DODGE,17.173076923076923
2006,FERRARI,13.25
2006,FORD,20.508474576271187
2006,GMC,17.196969696969695
2006,HONDA,28.53333333333333
2006,HUMMER,17.0
2006,HYUNDAI,23.727272727272727
2006,INFINITI,19.33333333333333
2006,ISUZU,18.444444444444443
2006,JAGUAR,20.181818181818183
2006,JEEP,17.8
2006,KIA,22.33333333333333
2006,LAND ROVER,15.666666666666666
2006,LEXUS,22.642857142857142
2006,LINCOLN,15.333333333333334
2006,LINCOLN-MERCURY,19.55555555555556
2006,MASERATI,15.0
2006,MAZDA,23.379310344827587
2006,MERCEDES-BENZ,19.41860465116279
2006,MERCURY,20.77777777777778
2006,MINI,28.375
2006,MITSUBISHI,21.33333333333333
2006,NISSAN,20.216216216216218
2006,PONTIAC,24.9375
2006,PORSCHE,20.44
2006,SAAB,22.27777777777778
2006,SATURN,25.77777777777778
2006,SUBARU,23.09375
2006,SUZUKI,23.954545454545453
2006,TOYOTA,23.82926829268293
2006,VOLKSWAGEN,28.666666666666668
2006,VOLVO,22.566666666666663
