Year,Mfr Name,COMB MPG
1999,ACURA,23.27272727272728
1999,AUDI,21.88235294117647
1999,BENTLEY,13.0
1999,BMW,21.513513513513512
1999,BUICK,22.0
1999,CADILLAC,19.142857142857142
1999,CHEVROLET,20.88888888888889
1999,CHRYSLER,21.8125
1999,DAEWOO,26.4
1999,DODGE,18.03846153846154
1999,FERRARI,11.4
1999,FORD,18.716216216216218
1999,GMC,16.975
1999,HONDA,26.26315789473684
1999,HYUNDAI,25.916666666666668
1999,INFINITI,22.0
1999,ISUZU,19.526315789473685
1999,JAGUAR,19.428571428571427
1999,JEEP,18.357142857142858
1999,KIA,22.83333333333333
1999,LAMBORGHINI,11.0
1999,LAND ROVER,14.25
1999,LEXUS,20.22222222222222
1999,LINCOLN,14.0
1999,LINCOLN-MERCURY,24.473684210526315
1999,MAZDA,22.90909090909091
1999,MERCEDES-BENZ,20.68
1999,MERCURY,17.2
1999,MITSUBISHI,22.513513513513512
1999,NISSAN,22.22222222222222
1999,OLDSMOBILE,22.09090909090909
1999,PLYMOUTH,23.545454545454547
1999,PONTIAC,23.23529411764705
1999,PORSCHE,20.0
1999,R-R MTR CARS LTD.,13.0
1999,SAAB,22.0
1999,SATURN,30.58333333333333
1999,SUBARU,24.25
1999,SUZUKI,26.0
1999,TOYOTA,24.448979591836736
1999,VOLKSWAGEN,26.65853658536585
1999,VOLVO,22.363636363636363
