Year,Mfr Name,COMB MPG,COMB CO2
2015,BMW,24.45679012345679,377.9259259259259
2015,FCA Italy,28.0,317.0
2015,FCA US LLC,22.28828828828829,414.3783783783784
2015,Ferrari,14.642857142857142,616.5714285714286
2015,Ford Motor Company,23.3125,400.0208333333333
2015,General Motors,20.3551912568306,463.08743169398906
2015,Honda,28.324324324324323,325.56756756756755
2015,Hyundai,25.44186046511628,363.2325581395349
2015,Jaguar Land Rover L,19.205882352941178,471.3529411764706
2015,Kia,25.27027027027027,362.72972972972974
2015,MAZDA,28.416666666666668,318.7083333333333
2015,Maserati,17.0,527.3333333333334
2015,McLaren Automotive,18.0,499.0
2015,Mercedes-Benz,21.662337662337663,429.9090909090909
2015,Mitsubishi Motors Co,26.38888888888889,346.27777777777777
2015,Mobility Ventures L,16.0,566.0
2015,Nissan,22.493827160493822,417.5679012345679
2015,Porsche,21.39655172413793,420.2758620689655
2015,Quantum Fuel System,20.0,437.0
2015,Rolls-Royce,14.428571428571429,612.4285714285714
2015,Roush,16.0,559.5
2015,Subaru,26.666666666666668,337.85714285714283
2015,Toyota,24.67032967032967,390.4725274725275
2015,Volkswagen Group of,23.964601769911503,408.1061946902655
2015,Volvo,23.80952380952381,374.7619047619048
2015,aston martin,15.5,570.8
