Year,Mfr Name,COMB MPG
1998,ACURA,23.166666666666668
1998,ASTON MARTIN,16.0
1998,AUDI,21.88235294117647
1998,BENTLEY,12.857142857142858
1998,BMW,22.285714285714285
1998,BUICK,22.55555555555556
1998,CADILLAC,18.666666666666668
1998,CHEVROLET,20.613333333333333
1998,CHRYSLER,22.41176470588235
1998,DAEWOO,26.1875
1998,DODGE,18.660377358490567
1998,EAGLE,24.0
1998,FERRARI,11.4
1998,FORD,18.986666666666668
1998,GMC,16.931818181818183
1998,HONDA,26.13636363636364
1998,HYUNDAI,25.727272727272727
1998,INFINITI,20.5
1998,ISUZU,19.88235294117647
1998,JAGUAR,19.166666666666668
1998,JEEP,17.6875
1998,KIA,22.83333333333333
1998,LAMBORGHINI,11.0
1998,LAND ROVER,14.25
1998,LEXUS,20.142857142857142
1998,LINCOLN,14.0
1998,LINCOLN-MERCURY,24.1875
1998,LOTUS,18.0
1998,MAZDA,22.09090909090909
1998,MERCEDES-BENZ,20.38095238095238
1998,MERCURY,17.666666666666668
1998,MITSUBISHI,22.6
1998,NISSAN,23.0
1998,OLDSMOBILE,22.727272727272727
1998,PLYMOUTH,24.5
1998,PONTIAC,23.55555555555556
1998,PORSCHE,19.6
1998,R-R MTR CARS LTD.,12.5
1998,SAAB,22.33333333333333
1998,SATURN,30.08333333333333
1998,SUBARU,24.61111111111111
1998,SUZUKI,26.59090909090909
1998,TOYOTA,23.27272727272728
1998,VOLKSWAGEN,28.15384615384616
1998,VOLVO,21.45
