Year,Mfr Name,Comb FE (Guide) - Conventional Fuel,Comb CO2 Rounded Adjusted (as shown on FE Label)
2016,BMW,24.20567375886525,380.50354609929076
2016,FCA US LLC,22.63302752293578,408.29357798165137
2016,Ferrari,15.142857142857142,605.8571428571429
2016,Ford Motor Company,22.435185185185187,416.06481481481484
2016,General Motors,21.988505747126435,427.38505747126436
2016,Honda,27.902439024390244,328.1219512195122
2016,Hyundai,25.930232558139537,358.8837209302326
2016,Jaguar Land Rover L,20.09090909090909,453.93939393939394
2016,Kia,25.536585365853657,360.780487804878
2016,MAZDA,30.625,292.0416666666667
2016,Maserati,17.625,505.875
2016,McLaren Automotive,18.142857142857142,496.42857142857144
2016,Mercedes-Benz,21.328767123287673,439.1232876712329
2016,Mitsubishi Motors Co,26.076923076923077,336.84615384615387
2016,Mobility Ventures L,16.0,566.0
2016,Nissan,24.03125,384.84375
2016,Pagani Automobili S,13.0,671.0
2016,Porsche,21.08695652173913,427.2463768115942
2016,Quantum Fuel System,20.0,437.0
2016,Rolls-Royce,14.375,612.375
2016,Roush,14.5,596.25
2016,Subaru,26.61904761904762,339.0
2016,Toyota,25.559139784946236,381.80645161290323
2016,Volkswagen Group of,24.11627906976744,389.72093023255815
2016,Volvo,24.0,370.88461538461536
2016,aston martin,15.5,570.8
