Year,Mfr Name,Comb FE (Guide) - Conventional Fuel,Comb CO2 Rounded Adjusted (as shown on FE Label)
2017,BMW,23.908396946564885,382.76335877862596
2017,FCA US LLC,22.16504854368932,413.24271844660194
2017,Ferrari,15.5,586.8333333333334
2017,Ford Motor Company,21.658536585365855,429.479674796748
2017,General Motors,21.69942196531792,434.26589595375725
2017,Honda,28.254545454545454,325.3636363636364
2017,Hyundai,27.104166666666668,352.5416666666667
2017,Jaguar Land Rover L,22.170731707317074,427.4878048780488
2017,Kia,26.953488372093023,350.83720930232556
2017,Lotus,19.5,459.5
2017,MAZDA,29.434782608695652,303.9130434782609
2017,Maserati,17.3,514.4
2017,McLaren Automotive,19.0,481.0
2017,Mercedes-Benz,21.226190476190474,441.7857142857143
2017,Mitsubishi Motors Co,28.933333333333334,314.2
2017,Nissan,23.609756097560975,392.780487804878
2017,Porsche,22.083333333333332,403.85
2017,Rolls-Royce,14.125,629.375
2017,Roush,14.75,622.0
2017,Subaru,26.136363636363637,344.04545454545456
2017,Toyota,25.08888888888889,387.6777777777778
2017,Volkswagen Group of,22.528735632183906,420.86206896551727
2017,Volvo,25.238095238095237,353.7142857142857
2017,aston martin,15.2,586.6
