Year,Mfr Name,COMB MPG
2002,ACURA,23.0
2002,ASTON MARTIN,14.0
2002,AUDI,21.03125
2002,BENTLEY,12.0
2002,BMW,20.875
2002,BUICK,22.0
2002,CADILLAC,17.428571428571427
2002,CHEVROLET,19.77380952380953
2002,CHRYSLER,22.23809523809524
2002,DAEWOO,25.8
2002,DODGE,18.09433962264151
2002,FERRARI,12.0
2002,FORD,19.48780487804878
2002,GMC,16.387755102040817
2002,HONDA,29.625
2002,HYUNDAI,25.105263157894736
2002,INFINITI,21.33333333333333
2002,ISUZU,18.666666666666668
2002,JAGUAR,20.066666666666663
2002,JEEP,16.8
2002,KIA,22.53846153846154
2002,LAMBORGHINI,10.0
2002,LAND ROVER,15.333333333333334
2002,LEXUS,20.1
2002,LINCOLN,13.666666666666666
2002,LINCOLN-MERCURY,21.0
2002,MASERATI,13.0
2002,MAZDA,21.96153846153846
2002,MERCEDES-BENZ,19.84210526315789
2002,MERCURY,16.285714285714285
2002,MITSUBISHI,23.23333333333333
2002,NISSAN,19.86111111111111
2002,OLDSMOBILE,22.1
2002,PONTIAC,23.63636363636364
2002,PORSCHE,19.823529411764707
2002,QUANTUM,24.5
2002,R-R MTR CARS LTD.,14.0
2002,ROUSH PERFORMANCE,20.0
2002,SAAB,23.5625
2002,SATURN,27.55555555555556
2002,SUBARU,23.0625
2002,SUZUKI,24.192307692307693
2002,TOYOTA,23.42
2002,VOLKSWAGEN,27.21276595744681
2002,VOLVO,23.09090909090909
